Column1,hw.runtime[ms],partition0_cpu_results.Runtime[ms],cpu_results.Runtime[ms],partition0_cpu_results.# of nodes,cpu_results.# of nodes
MultiThreshold_0_out0,4.156351089,19.97518539,352.514267,2,57
MultiThreshold_1_out0,4.282951355,39.81471062,345.2682495,4,55
MultiThreshold_2_out0,5.120754242,86.02714539,290.9967899,6,53
MultiThreshold_3_out0,5.298376083,97.21899033,278.2819271,8,51
MultiThreshold_4_out0,5.171060562,118.9813614,259.4790459,10,49
MultiThreshold_5_out0,5.305051804,143.9843178,239.6845818,12,47
MultiThreshold_6_out0,5.344152451,183.1326485,208.6741924,14,45
MultiThreshold_7_out0,5.483865738,174.6122837,201.9274235,16,43
MultiThreshold_8_out0,5.507946014,188.4796619,199.4338036,18,41
MultiThreshold_9_out0,5.646705627,201.1017799,177.2153378,20,39
MultiThreshold_10_out0,5.655527115,215.7120705,158.0197811,22,37
MultiThreshold_11_out0,6.044149399,221.0195065,153.6905766,24,35
MultiThreshold_12_out0,5.906105042,233.1905365,146.9812393,26,33
MultiThreshold_13_out0,6.365776062,242.3171997,139.749527,28,31
MultiThreshold_14_out0,6.385326385,252.3839474,130.0780773,30,29
MultiThreshold_15_out0,6.896018982,258.3429813,117.6784039,32,27
